YearofManufacture,Brand,CarName,KilometersDriven,FuelType,Transmission,Price,Location,PricePerKm
2018,Renault, Kwid RXT 1.0 AMT (O),38122,Petrol,Automatic,351000,Seawoo,9.207281884476156
2019,Renault, Kwid RXT 1.0 AMT (O),22924,Petrol,Automatic,395000,"Goregaon, Mumbai",17.230849764439014
2019,Renault, Duster RXS OPT CVT,24015,Petrol,Automatic,747000,"Mulund West, Mumbai",31.105559025608994
2019,Renault, Duster RXS OPT CVT,26958,Petrol,Automatic,756000,"Mulund West, Mumbai",28.043623414199867
2020,Renault, TRIBER RXE MT,24117,Petrol,Manual,518000,"Goregaon, Mumbai",21.47862503628146
2020,Renault, TRIBER RXZ,49842,Petrol,Manual,566000,Seawoo,11.355884595321214
2020,Renault, Kwid RXT 1.0 (O),46581,Petrol,Manual,407000,"Goregaon, Mumbai",8.737468066378996
2021,Renault, TRIBER RXZ AMT,35517,Petrol,Automatic,682000,Seawoo,19.202072247092943
2021,Renault, Kiger RXL MT,46060,Petrol,Manual,538000,"Goregaon, Mumbai",11.6804168475901
2021,Renault, TRIBER RXT,24621,Petrol,Manual,611000,"Mulund West, Mumbai",24.816213801226596
2023,Renault, Kwid CLIMBER AMT 1.0,12014,Petrol,Automatic,552000,"Goregaon, Mumbai",45.94639587148327
2013,Skoda, Rapid ACTIVE 1.6 MPI MT PLUS,90993,Petrol,Manual,332000,"Mulund West, Mumbai",3.6486323123756774
2013,Skoda, Rapid AMBITION 1.6 TDI CR MT PLUS,81513,Diesel,Manual,345000,"Mulund West, Mumbai",4.232453719038681
2013,Skoda, Rapid ACTIVE 1.6 MPI MT PLUS,47977,Petrol,Manual,354000,"Mulund West, Mumbai",7.378535548283552
2017,Skoda, Rapid STYLE 1.6 MPI AT,89856,Petrol,Automatic,586000,"Mulund West, Mumbai",6.521545584045584
2017,Skoda, Rapid STYLE 1.6 MPI AT,84858,Petrol,Automatic,518000,"Goregaon, Mumbai",6.104315444625138
2018,Skoda, Rapid STYLE 1.5 TDI AT,119830,Diesel,Automatic,652000,"Mulund West, Mumbai",5.441041475423517
2018,Skoda, Rapid STYLE 1.6 MPI,64953,Petrol,Manual,676000,Seawoo,10.407525441473066
2018,Skoda, Rapid STYLE 1.6 MPI,59417,Petrol,Manual,697000,"Mulund West, Mumbai",11.730649477422286
2020,Skoda, Rapid STYLE TSI,33693,Petrol,Manual,977000,"Goregaon, Mumbai",28.997121063722435
2017,Tata, Tiago XZ PETROL,37602,Petrol,Manual,390000,"Mulund West, Mumbai",10.371788734641774
2018,Tata, TIGOR XZ PETROL,94586,Petrol,Manual,408000,"Goregaon, Mumbai",4.31353477258791
2018,Tata, NEXON XZA PLUS DIESEL DUAL TONE,104792,Diesel,Automatic,668000,"Mulund West, Mumbai",6.374532407053974
2018,Tata, Tiago XZ PETROL,76127,Petrol,Manual,411000,"Mulund West, Mumbai",5.3988729360148175
2019,Tata, Harrier XZ 2.0L,52045,Diesel,Manual,1268000,"Goregaon, Mumbai",24.363531559227592
2019,Tata, NEXON XZA PLUS DIESEL,51506,Diesel,Automatic,836000,"Goregaon, Mumbai",16.23111870461694
2020,Tata, Tiago XZA PLUS PETROL,6375,Petrol,Automatic,608000,"Goregaon, Mumbai",95.37254901960785
2020,Tata, NEXON XZA PLUS SUNROOF DIESEL,75525,Diesel,Automatic,986000,"Goregaon, Mumbai",13.055279708705726
2020,Tata, ALTROZ XZ PETROL,71356,Petrol,Manual,669000,"Mulund West, Mumbai",9.375525533942486
2020,Tata, ALTROZ XZ PETROL,11670,Petrol,Manual,693000,"Goregaon, Mumbai",59.383033419023135
2021,Tata, NEXON XM SUNROOF PETROL,36460,Petrol,Manual,773000,"Mulund West, Mumbai",21.2013165112452
2021,Tata, Tiago XE PETROL,10232,Petrol,Manual,544000,"Goregaon, Mumbai",53.16653635652854
2021,Tata, NEXON XZA PLUS (O) PETROL,26213,Petrol,Automatic,1036000,"Goregaon, Mumbai",39.522374394384464
2021,Tata, TIGOR XE PETROL,52153,Petrol,Manual,517000,"Mulund West, Mumbai",9.913140183690295
2021,Tata, Harrier XZA PLUS 2.0L DARK EDITION,31539,Diesel,Automatic,1869000,"Goregaon, Mumbai",59.25996385427566
2021,Tata, TIGOR XZA PLUS PETROL,39046,Petrol,Automatic,667000,"Goregaon, Mumbai",17.08241561235466
2021,Tata, ALTROZ XT PETROL,43417,Petrol,Manual,650000,"Goregaon, Mumbai",14.971094271829006
2021,Tata, NEXON XZ PETROL,13342,Petrol,Manual,861999,"Mulund West, Mumbai",64.60792984560035
2022,Tata, ALTROZ XZA PLUS DARK EDTION,16783,Petrol,Automatic,807000,"Mulund West, Mumbai",48.084371089793244
2022,Tata, NEXON XZ PLUS PETROL,18598,Petrol,Manual,898000,"Mulund West, Mumbai",48.284761802344335
2022,Tata, ALTROZ XZA PLUS,2973,Petrol,Automatic,868000,"Goregaon, Mumbai",291.9609821728893
2022,Tata, TIGOR XZ PLUS CNG,18438,CNG,Manual,708000,Seawoo,38.398958672307195
2022,Tata, NEXON XZ PLUS PETROL SUNROOF,35275,Petrol,Manual,918000,"Mulund West, Mumbai",26.02409638554217
2011,Toyota, Etios Liva G,79645,Petrol,Manual,225999,"Mulund West, Mumbai",2.837579257957185
2011,Toyota, Etios Liva G,75420,Petrol,Manual,244000,"Goregaon, Mumbai",3.2352161230442853
2011,Toyota, Etios Liva G,77595,Petrol,Manual,237000,Seawoo,3.054320510342161
2018,Toyota, YARIS VX MT,30509,Petrol,Manual,783000,"Goregaon, Mumbai",25.6645579992789
2018,Toyota, Corolla Altis VL CVT PETROL,77581,Petrol,Automatic,980000,"Mulund West, Mumbai",12.631958855905442
2019,Toyota, Glanza G CVT,21695,Petrol,Automatic,677000,Seawoo,31.205346854113852
2020,Toyota, Glanza V CVT,57023,Petrol,Automatic,683000,"Goregaon, Mumbai",11.977623064377532
2012,Volkswagen, Vento TRENDLINE 1.6,54707,Petrol,Manual,262000,"Goregaon, Mumbai",4.7891494689893435
2014,Volkswagen, Polo COMFORTLINE 1.2L,96926,Petrol,Manual,338000,Seawoo,3.48719641788581
2015,Volkswagen, Polo COMFORTLINE 1.2L,30163,Petrol,Manual,407000,"Mulund West, Mumbai",13.493352783211218
